相生駅,アイオイ,長良川鉄道越美南線 岐阜県,
相生駅,アイオイ,西日本旅客鉄道山陽新幹線 兵庫県,
相老駅,アイオイ,わたらせ渓谷鐵道わたらせ渓谷線,
相生山駅,アイオイヤマ,,
相賀駅,アイガ,,
秋鹿町駅,アイカマチ,,
相川駅,アイカワ,阪急京都本線,
合川駅,アイカワ,秋田内陸縦貫鉄道秋田内陸線,
愛環梅坪駅,アイカンウメツボ,,
愛甲石田駅,アイコウイシダ,,
愛山駅,アイザン,,
愛大医学部南口駅,アイダイイガクブミナミグチ,,
愛・地球博記念公園駅,アイチキュウハクキネンコウエン,,
愛知大学前駅,アイチダイガクマエ,,
愛知御津駅,アイチミト,,
会津荒海駅,アイヅアラカイ,,
会津大塩駅,アイヅオオシオ,,
会津蒲生駅,アイヅガモウ,,
会津川口駅,アイヅカワグチ,,
相月駅,アイヅキ,,
会津高原尾瀬口駅,アイヅコウゲンオゼグチ,,
会津越川駅,アイヅコスガワ,,
会津坂本駅,アイヅサカモト,,
会津山村道場駅,アイヅサンソンドウジョウ,,
会津塩沢駅,アイヅシオザワ,,
会津下郷駅,アイヅシモゴウ,,
会津高田駅,アイヅタカダ,,
会津田島駅,アイヅタジマ,,
会津豊川駅,アイヅトヨカワ,,
会津中川駅,アイヅナカガワ,,
会津長野駅,アイヅナガノ,,
会津西方駅,アイヅニシカタ,,
会津坂下駅,アイヅバンゲ,,
会津桧原駅,アイヅヒノハラ,,
会津本郷駅,アイヅホンゴウ,,
逢妻駅,アイヅマ,,
会津水沼駅,アイヅミズヌマ,,
会津宮下駅,アイヅミヤシタ,,
会津柳津駅,アイヅヤナイヅ,,
会津横田駅,アイヅヨコタ,,
会津若松駅,アイヅワカマツ,,
藍那駅,アイナ,,
相野駅,アイノ,西日本旅客鉄道福知山線,
愛野駅,アイノ,東海旅客鉄道東海道本線 静岡県,
愛野駅,アイノ,島原鉄道線 長崎県,
相浦駅,アイノウラ,,
相ノ木駅,アイノキ,,
あいの里教育大駅,アイノサトキョウイクダイ,,
あいの里公園駅,アイノサトコウエン,,
相内駅,アイノナイ,,
相野々駅,アイノノ,,
相原駅,アイハラ,,
愛別駅,アイベツ,,
相見駅,アイミ,,
愛本駅,アイモト,富山地方鉄道本線,
